,Median,MAD_SD,hdi_2.5%,hdi_97.5%
Intercept,2122.203,694.955,140.58,4125.109
incentive,27.626,32.556,-71.655,116.074
ruleStr[II],1806.429,953.996,-1030.145,4570.927
ruleStr[III],3233.99,1015.601,288.511,6248.505
ruleStr[IV],2033.503,975.306,-924.349,4778.72
ruleStr[V],4064.396,984.887,1241.305,6983.579
ruleStr[VI],2191.275,964.839,-551.318,4865.678
incentive:ruleStr[II],-51.859,46.088,-190.267,79.248
incentive:ruleStr[III],-56.557,48.029,-196.278,83.783
incentive:ruleStr[IV],-61.311,46.859,-204.872,67.212
incentive:ruleStr[V],-77.201,46.878,-215.749,55.791
incentive:ruleStr[VI],-42.255,47.046,-174.738,94.346
rt_sigma,19469.819,116.571,19158.616,19808.775
